,Tenpai,Machi
314,1111234444556,356
315,2224456666779,8
316,1122244467999,58
317,1112224445558,8
318,1133455666999,4
319,1223344445678,235689
320,1113455578899,7
321,1122233344466,146
322,2223666777888,134
323,1113345789999,236
324,1334566667899,2
325,1233335667888,467
326,3456666777999,2358
327,3445555688999,28
328,1112344455666,13456
329,1114445556778,679
330,1133444456888,13
331,2223555567899,4
332,1233344445888,2356
333,1222233345599,4
334,1223467788999,3
335,2222466677999,3
336,1233346777999,5
337,2455667778999,3
338,1114555677899,8
339,1233555666888,34
340,2455566788889,3
341,3335556667799,479
342,2223444455568,7
343,1111222355556,47
344,1112245555667,28
345,1134444555677,6
346,2334444566677,17
347,1122336677778,5689
348,2344466667789,58
349,1234446777799,58
350,1245666678888,3
351,1111333356799,2
352,1334567888999,2
353,2234566678999,269
354,1111233444999,235
355,2234566667889,7
356,1111235556666,47
357,1113344455667,347
358,1122223455677,6
359,1244567888999,3
360,1133355566677,147
361,1122334567789,147
362,1134444557777,6
363,1111223335678,4
364,1233344467888,358
365,1122334456779,8
366,2334555666678,134
367,1112455666789,3
368,1111234447778,689
369,1112245666679,8
370,1123445555689,7
371,4445556678999,345679
372,2245556667777,24
373,1222555678999,13
374,2224456777888,347
375,3355556667788,47
376,1122355777789,3
377,1222233478899,7
378,5556666777999,4578
379,2223444588999,48
380,1112333379999,8
381,2223366677789,37
382,2223466667778,257
383,2223455556779,8
384,2366667778999,14
385,1114566677779,8
386,2233334777999,1245
387,2233344566667,234
388,2223445666678,23459
389,1134556677788,69
390,1111223335999,4
391,4444556679999,8
392,5666677778899,4589
393,4555566679999,8
394,1222245566667,3
395,1245555666778,3
396,1256666777788,3
397,1222334455577,3
398,1115666777799,69
399,4455568888999,7
400,2333344778899,1245
401,3336666778889,578
402,2223444555577,47
403,1112445555667,3
404,1122356788999,3
405,2222345556667,5678
406,1113455566779,9
407,1223344555667,258
408,1114455566888,456
409,1244555789999,3
410,3444455566677,235678
411,3344577778899,25
412,1113444566778,2358
413,2233445666677,14578
414,3466788889999,25
415,1122244455579,8
416,1114444677789,5
417,2223444455558,8
418,1222344456788,28
419,3444456666778,2578
420,2222333344455,1456
421,1112345556999,14567
422,1112334477888,25
423,2345556666777,14578
424,1122333356666,47
425,1114555678999,34569
426,1222333445589,7
427,1133355556788,18
428,1113555666789,234
429,1123333466999,16
430,2223344666888,2345
431,1222334488999,3
432,1112233478999,1469
433,3334447788999,6789
434,2224445668888,7
435,1122345555678,12
436,1244456777788,3
437,1333344555789,2
438,2223555677889,134
439,1222333555678,123
440,2222444666789,3
441,1115566777999,45678
442,3577788889999,4
443,2223337788889,679
444,1123445667777,58
445,2222345666778,69
446,2456666778889,3
447,4445555678889,4789
448,1122233345555,1236
449,1235566777889,58
450,1111233336669,9
451,1333344556777,12
452,1223344566778,147
453,1112333345788,6
454,2223556677778,4
455,1157788889999,6
456,2346666788999,578
457,1113444555667,47
458,1222333344567,24
459,1111234477899,8
460,1233334444557,6
461,1112333367778,147
462,1114455556678,34679
463,2234555566667,28
464,3456666788889,379
465,1133344445678,1369
466,1122555778899,12
467,1112226667888,56789
468,1112223338899,89
469,1112333356999,47
470,2333355577888,14
471,1233566778888,34
472,1113344566999,25
473,1111222278889,3
474,1111267788889,3
475,2223477778899,25
476,1222345555677,27
477,1113344445588,8
478,1111235567999,58
479,2244466777789,26
480,1112244478999,269
481,3333445567779,89
482,1112333344445,1256
483,1112244446666,5
484,4445666677999,4578
485,1222244677778,3
486,1223333466667,58
487,1333356667789,2
488,4455566678899,789
489,3336666788899,589
490,1222244567999,3
491,1113335578888,69
492,1113445666888,245
493,2344446788999,578
494,1113344445699,39
495,1112345566667,1234578
496,1111222234569,9
497,3344577788999,25
498,1233344555679,9
